id,AduName,NAduType,NAduName,onAskStart,onAskEnd,url
1,東眼山自然教育中心,10,在樹上看見的世界,2023-12-01,活動10天前,https://recreation.forest.gov.tw/Education/Course?id=DYS-C1307
2,東眼山自然教育中心,10,來去樹上睡一晚,2023-12-01,活動20天前,https://recreation.forest.gov.tw/Education/Course?id=DYS-C1308
3,東眼山自然教育中心,10,苔球手作,2023-12-01,活動4天前,https://recreation.forest.gov.tw/Education/Course?id=DYS-C1310
4,東眼山自然教育中心,10,森林木工坊,2024-01-11,活動0天前,https://recreation.forest.gov.tw/Education/Course?id=DYS-C1312
5,東眼山自然教育中心,11,火焰蟲傳說,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=DYS-D1303
6,東眼山自然教育中心,11,鳥類觀察家,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=DYS-D1304
7,東眼山自然教育中心,11,【東眼山X卡普部落】竹取公主夜賞東眼山,2023-12-01,活動8天前,https://recreation.forest.gov.tw/Education/Course?id=DYS-D1306
8,東眼山自然教育中心,11,定向東遊記-小旅讀,2023-12-01,活動10天前,https://recreation.forest.gov.tw/Education/Course?id=DYS-D1311
9,知本自然教育中心,6,樹木教育,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=JB-A11306
10,知本自然教育中心,6,五感體驗,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=JB-A11310
11,知本自然教育中心,6,植物生態,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=JB-A11311
12,知本自然教育中心,7,動物生態,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=JB-A21311
13,知本自然教育中心,7,登山倫理,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=JB-A21313
14,知本自然教育中心,7,探索體驗,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=JB-A21314
15,知本自然教育中心,7,樹木教育,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=JB-A21315
16,知本自然教育中心,7,五感體驗,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=JB-A21316
17,知本自然教育中心,7,植物生態,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=JB-A21317
18,知本自然教育中心,8,登山倫理,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=JB-A31305
19,知本自然教育中心,8,探索體驗,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=JB-A31306
20,知本自然教育中心,10,開啟木育之門,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=JB-C1301
21,知本自然教育中心,10,環境教育做伙行,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=JB-C1302
23,知本自然教育中心,10,定向好好玩,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=JB-C1304
24,羅東自然教育中心,6,木的小玩家,2023-12-01,活動0天前,https://recreation.forest.gov.tw/Education/Course?id=LD-A11301
25,羅東自然教育中心,6,五彩樹,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=LD-A11302
26,羅東自然教育中心,7,公民科學家,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=LD-A21301
27,羅東自然教育中心,7,我的木頭生活,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=LD-A21302
28,羅東自然教育中心,7,小林家鄉味,2023-12-01,活動10天前,https://recreation.forest.gov.tw/Education/Course?id=LD-A21303
29,羅東自然教育中心,7,小小大森林,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=LD-A21304
30,羅東自然教育中心,7,綠色檔案,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=LD-A21305
31,羅東自然教育中心,7,對面的鳥同學,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=LD-A21306
32,羅東自然教育中心,7,拜訪水生朋友,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=LD-A21307
33,123,20,456,2013-06-06,活動30天前,google
34,羅東自然教育中心,7,大樹碳險隊,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=LD-A21309
35,羅東自然教育中心,7,水池偵探,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=LD-A21310
36,羅東自然教育中心,7,樹學家,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=LD-A21311
37,羅東自然教育中心,7,一路太平老故事,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=LD-A21312
38,羅東自然教育中心,7,《林場軼聞錄》,2024-02-16,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=LD-A21313
39,羅東自然教育中心,7,綠網行動,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=LD-A21314
40,羅東自然教育中心,8,這些「鳥」事,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=LD-A31301
41,羅東自然教育中心,8,溼樂園,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=LD-A31302
42,羅東自然教育中心,8,當個水池神,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=LD-A31303
43,羅東自然教育中心,8,森林樂高（主題系列課程）,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=LD-A31304
44,羅東自然教育中心,10,【戶外教學大開箱】教師研習,2023-11-06,活動0天前,https://recreation.forest.gov.tw/Education/Course?id=LD-C1301
45,羅東自然教育中心,10,森林樂高（主題系列課程）,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=LD-C1302
46,羅東自然教育中心,10,這些「鳥」事,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=LD-C1303
47,羅東自然教育中心,10,溼樂園,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=LD-C1304
48,羅東自然教育中心,10,當個水池神,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=LD-C1305
49,雙流自然教育中心,7,雙流FBI,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=SL-A21301
50,雙流自然教育中心,7,與大自然捉迷藏,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=SL-A21302
51,雙流自然教育中心,7,溪遊記,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=SL-A21305
52,雙流自然教育中心,7,生活智慧王,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=SL-A21306
53,雙流自然教育中心,7," 山林""痕""角色",2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=SL-A21308
